SFR,SM,SMwA,SMwL,MetwL,MetwM,nipH,nipHeI,nipHeII,Flux_Ha,Flux_Hb,Neb_Cont.
-0.599456788311793,7.793,555900000.0,223800000.0,0.009023,0.01283,52.21,51.29,49.88,45.19,14.22,1.5156008303165436
-2.385771405986767,6.641,994500000.0,685100000.0,0.01001,0.01282,50.09,49.49,47.16,14.89,4.494,0.3752544755116105
-0.542515099481195,8.042,803700000.0,260700000.0,0.007347,0.008353,51.98,50.0,48.86,13.01,3.909,0.4266264848411083
-1.507206808106853,6.647,1902000000.0,564900000.0,0.00822,0.007668,50.55,49.9,47.86,26.17,7.821,0.8344900794327259
-0.891072467684459,7.512,654200000.0,165200000.0,0.007742,0.006405,51.84,50.73,49.69,31.35,10.86,1.1144648306071758
-0.428685534066111,8.096,1977000000.0,915400000.0,0.005478,0.005199,51.48,50.53,49.44,17.96,6.508,0.6813173647969961
-1.324425764512495,6.222,813100000.0,184400000.0,0.007043,0.004347,50.99,50.19,47.98,49.26,13.81,1.5801485627889633
-0.583109159907439,7.309,1576000000.0,620600000.0,0.004006,0.004002,51.06,50.11,49.1,14.98,4.368,0.4917558282613754
1.229823378401016,8.699,30340000.0,16030000.0,0.008596,0.009365,54.56,54.01,51.27,139.3,39.56,4.639151692390442
-0.511063535267005,7.211,686100000.0,257600000.0,0.004746,0.006146,52.37,51.92,48.59,244.2,70.58,6.824086606502533
-1.592781764421874,5.863,70070000.0,55070000.0,0.01554,0.01434,51.0,50.28,47.5,89.14,30.1,3.6363184452056885
-0.862242807101322,7.507,2027000000.0,750600000.0,0.007789,0.007572,51.16,50.23,48.27,21.45,6.401,0.6229260005056858
-0.792071090929635,8.027,824500000.0,282900000.0,0.0115,0.01728,51.8,51.17,50.23,14.8,4.564,0.4226545337587595
-0.884827570983205,7.077,675300000.0,139700000.0,0.006838,0.005249,51.83,50.87,48.48,55.33,18.05,2.5928616523742676
-0.173346317911238,7.797,818500000.0,271900000.0,0.004221,0.004056,51.87,50.5,48.28,14.7,4.639,0.590421399101615
-0.582564949326202,7.429,538100000.0,92390000.0,0.01149,0.01327,52.0,50.68,49.04,39.58,13.89,1.5166090801358223
-1.758784607507284,6.599,32240000.0,27390000.0,0.004372,0.004089,51.07,49.12,48.21,17.59,6.492,0.6230166181921959
-0.299793439980413,6.764,102900000.0,34540000.0,0.01097,0.0119,52.23,51.01,48.33,118.4,40.19,4.771701619029045
-0.946615091966918,6.462,940500000.0,147900000.0,0.01525,0.03248,50.18,48.79,47.86,7.937,2.466,0.3223914420232177
-0.699899845254508,7.463,751900000.0,185900000.0,0.007013,0.007396,51.94,50.56,49.11,36.15,11.31,1.1624779552221298
-3.062321173665837,6.396,1789000000.0,988000000.0,0.007775,0.0137,50.12,49.44,47.11,30.29,9.044,0.6144053302705288
-0.257807234412646,8.498,1638000000.0,566600000.0,0.005961,0.01127,52.92,51.89,49.14,71.54,19.5,2.0855234935879707
-0.571766442088054,8.025,1987000000.0,677800000.0,0.007618,0.004054,51.67,50.89,49.75,23.47,8.038,0.7821440696716309
-2.009536444627009,5.795,835600000.0,326400000.0,0.004009,0.004001,49.8,47.68,46.43,19.17,6.396,0.650880578905344
-0.513790991458447,7.765,1138000000.0,805900000.0,0.004646,0.004398,52.01,51.55,48.09,93.42,31.57,3.337015211582184
